date,residuals
1988-10-14,5.45
1988-10-27,2.5
1988-11-15,-1.55
1988-11-28,-1.5
1988-12-14,2.57
1988-12-28,2.03
1989-01-13,2.07
1989-01-27,-1.08
1989-02-14,3.66
1989-02-28,-0.1
1989-03-14,2.39
1989-03-28,3.5
1989-04-14,5.03
1989-04-28,1.46
1989-05-16,5.54
1989-05-29,3.45
1989-07-14,6.9
1989-09-01,1.51
1989-09-14,8.59
1989-09-28,1.32
1989-10-13,2.36
1989-11-14,-3.04
1989-11-28,-6.46
1989-12-14,-2.19
1989-12-28,-3.24
1990-01-14,-4.76
1990-01-29,1.96
1990-02-15,6.6
1990-02-28,5.7
1990-03-14,-1.82
1990-03-28,-3.33
1990-04-13,-0.07
1990-04-27,3.37
1990-05-14,8.08
1990-05-28,7.64
1990-08-14,-0.05
1990-08-28,4.69
1990-09-14,3.92
1990-09-27,0.32
1990-10-14,4.42
1990-10-28,-9.12
1990-11-14,6.44
1990-11-28,-4.48
1990-12-14,3.68
1991-01-14,7.49
1991-01-28,0.15
1991-02-14,-39.34
1991-02-28,3.1
1991-03-14,-0.64
1991-04-15,2.38
1991-04-29,-8.65
1991-05-28,9.06
1991-06-14,6.2
1991-06-27,11.85
1991-07-15,13.21
1991-07-29,11.61
1991-08-14,6.92
1991-08-28,3.1
1991-09-13,2.54
1991-09-27,3.78
1991-10-28,-7.14
1991-11-14,3.41
1991-11-28,-3.26
1991-12-13,-6.23
1991-12-30,-14.45
1992-01-14,-1.56
1992-01-28,-6.6
1992-02-14,-1.96
1992-02-28,-6.84
1992-03-14,-9.26
1992-03-24,2.69
1992-04-28,6.55
1992-05-14,5.3
1992-07-14,1.79
1992-07-28,0.65
1992-08-27,2.73
1992-09-14,0.58
1992-09-28,-2.37
1992-10-14,-6.21
1992-10-28,1.38
1992-11-13,1.56
1992-11-27,2.79
1992-12-14,1.81
1993-01-14,4.93
1993-01-28,11.22
1993-02-15,-17.09
1993-02-26,6.99
1993-03-15,-3.16
1993-04-14,-2.99
1993-04-28,-3.05
1993-07-14,-13.15
1993-07-28,-1.74
1993-08-13,7.16
1993-08-27,11.36
1993-09-14,6.82
1993-09-28,5.84
1993-10-28,-0.68
1993-11-15,0.73
1993-11-29,-2.73
1993-12-14,6.93
1994-01-14,-6.16
1994-01-27,-1.17
1994-02-14,-10.25
1994-02-28,-0.53
1994-03-14,2.17
1994-04-14,0.82
1994-04-28,-0.03
1994-05-16,8.82
1994-06-14,7.92
1994-07-14,4.78
1994-07-28,-0.35
1994-08-15,-2.76
1994-08-29,3.61
1994-09-14,2.14
1994-09-28,-1.2
1994-10-28,5.78
1994-11-14,-0.87
1994-11-28,-1.44
1994-12-14,-1.11
1995-01-13,3.35
1995-01-27,8.04
1995-02-14,3.32
1995-02-28,1.02
1995-03-14,0.78
1995-03-28,3.71
1995-05-15,4.36
1995-05-29,3.65
1995-07-14,8.72
1995-08-14,2.01
1995-09-14,1.1
1995-09-28,3.73
1995-10-27,4.24
1995-11-14,6.26
1995-11-28,-7.71
1995-12-14,-8.24
1996-01-15,5.19
1996-01-29,-11.17
1996-03-14,-11.13
1996-03-28,-2.04
1996-04-15,3.83
1996-04-29,2.51
1996-05-14,3.8
1996-05-28,2.4
1996-07-15,0.81
1996-09-13,0.05
1996-09-27,1.57
1996-10-14,-3.37
1996-11-14,1.21
1996-11-28,0.23
1996-12-13,3.81
1997-01-14,-8.77
1997-01-28,-2.15
1997-02-12,15.5
1997-03-14,3.49
1997-03-28,0.33
1997-04-14,0.4
1997-05-27,8.37
1997-07-14,5.37
1997-07-28,7.22
1997-08-14,7.74
1997-08-28,5.12
1997-09-15,7.86
1997-09-29,-4.23
1997-10-14,-17.23
1997-10-28,-0.02
1997-11-14,-6.88
1997-12-12,2.42
1998-01-14,1.6
1998-01-28,-1.99
1998-02-13,13.2
1998-03-13,2.81
1998-07-15,3.55
1998-07-29,9.07
1998-10-15,-6.27
1998-10-28,4.91
1998-11-13,6.92
1998-11-27,-0.45
1998-12-15,3.71
1999-01-15,2.81
1999-01-29,0.84
1999-02-15,-2.92
1999-03-01,0.25
1999-03-15,-3.09
1999-03-29,-2.19
1999-04-23,-0.08
1999-09-14,-10.14
1999-09-28,-9.19
1999-10-14,-13.7
1999-10-28,-11.91
1999-11-15,-9.31
1999-11-29,-7.0
1999-12-14,-0.1
1999-12-28,2.82
2000-01-14,-3.01
2000-01-28,-4.16
2000-02-14,-0.17
2000-02-28,-0.35
2000-03-14,-7.61
2000-03-28,1.74
2000-04-14,-0.11
2000-04-28,-5.58
2000-05-15,1.93
2000-05-29,-6.9
2000-06-14,3.09
2000-06-28,1.39
2000-07-14,-11.07
2000-07-28,0.79
2000-08-14,-0.82
2000-08-28,-6.35
2000-09-14,4.45
2000-09-28,3.09
2000-10-13,3.43
2000-10-28,2.94
2000-11-14,7.69
2000-11-28,3.41
2000-12-14,4.24
2000-12-28,-0.92
2001-01-15,1.63
2001-01-28,-3.3
2001-01-29,2.77
2001-02-14,3.7
2001-02-28,-1.13
2001-03-14,-1.05
2001-03-28,3.53
2001-04-14,-6.64
2001-04-28,-3.24
2001-05-14,6.65
2001-05-28,8.22
2001-06-14,7.54
2001-06-28,1.96
2001-07-14,-0.88
2001-07-28,-1.75
2001-08-14,6.27
2001-08-28,5.02
2001-09-14,1.86
2001-09-28,4.07
2001-10-15,-5.08
2001-10-27,-4.31
2001-12-14,-2.68
2001-12-28,-1.93
2002-01-14,-2.96
2002-01-28,1.0
2002-02-14,2.41
2002-02-28,3.9
2002-03-28,-5.09
2002-04-14,1.11
2002-04-28,-6.58
2002-05-14,-5.65
2002-05-28,3.12
2002-06-14,-0.68
2002-06-28,0.7
2002-07-14,-1.87
2002-07-28,1.08
2002-08-14,-7.11
2002-08-28,-8.37
2002-09-14,-3.37
2002-09-28,-4.26
2002-10-14,-9.05
2002-10-28,-13.84
2002-11-14,-4.68
2002-11-28,-5.11
2002-12-14,-11.25
2002-12-28,-3.13
2003-01-14,-7.27
2003-01-28,-1.11
2003-02-14,0.85
2003-02-28,-7.74
2003-03-14,-3.0
2003-03-28,-1.09
2003-04-14,-0.32
2003-04-28,1.22
2003-05-14,0.16
2003-05-28,-4.39
2003-06-14,5.48
2003-06-28,1.69
2003-07-14,2.45
2003-07-28,-3.79
2003-08-14,0.52
2003-08-28,-4.63
2003-09-14,-4.81
2003-09-28,-3.34
2003-10-14,-4.2
2003-10-28,-11.62
2003-11-14,-13.61
2003-11-28,-15.92
2003-12-15,-24.03
2003-12-28,-8.45
2004-01-14,0.59
2004-01-28,-0.77
2004-02-14,0.1
2004-02-28,-0.8
2004-03-15,-0.56
2004-03-27,-1.51
2004-04-14,-2.1
2004-04-28,4.56
2004-05-14,3.14
2004-05-28,4.65
2004-06-14,-2.06
2004-06-28,3.66
2004-07-14,0.65
2004-07-30,0.4
2004-08-14,-2.46
2004-08-28,1.54
2004-09-14,1.45
2004-09-28,-1.72
2004-10-28,-2.85
2004-11-13,-5.26
2004-11-27,-1.66
2004-12-14,3.5
2004-12-28,-4.06
2005-01-14,-5.07
2005-01-28,-3.47
2005-02-14,-9.27
2005-02-28,-4.34
2005-03-14,4.77
2005-03-26,-4.45
2005-04-14,-3.92
2005-04-28,0.88
2005-05-14,3.79
2005-05-30,4.65
2005-06-14,-0.15
2005-06-28,0.01
2005-07-14,3.16
2005-07-28,-2.76
2005-08-13,6.78
2005-08-27,5.84
2005-09-14,7.39
2005-09-28,6.21
2005-10-14,-1.44
2005-10-28,4.12
2005-11-14,-6.31
2005-11-16,3.01
2005-11-18,1.53
2005-11-19,2.63
2005-11-20,2.81
2005-11-21,3.79
2005-11-22,2.05
2005-11-23,1.35
2005-11-24,4.61
2005-11-25,4.1
2005-11-26,3.76
2005-11-27,2.2
2005-11-28,2.14
