Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,29-03-2021,,,,,,,,
Gegevens beschikbaar:,14-10-1988,tot:,31-12-2019,,,,,,,,
Datum: ,29-03-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B21B0214,001,21BP0214,198085,518413,-30,26-08-1988,26-08-1988,23-04-1999,33,63,-730,-930
B21B0214,001,21BP0214,198085,518413,-29,23-04-1999,23-04-1999,16-11-2005,30,59,-730,-930
B21B0214,001,21BP0214,198085,518413,-29,23-04-1999,16-11-2005,31-12-2019,24,53,-730,-930


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B21B0214,001,14-10-1988,124,61,-91,,,,,,
B21B0214,001,27-10-1988,135,72,-102,,,,,,
B21B0214,001,15-11-1988,143,80,-110,,,,,,
B21B0214,001,28-11-1988,144,81,-111,,,,,,
B21B0214,001,14-12-1988,133,70,-100,,,,,,
B21B0214,001,28-12-1988,129,66,-96,,,,,,
B21B0214,001,13-01-1989,135,72,-102,,,,,,
B21B0214,001,27-01-1989,143,80,-110,,,,,,
B21B0214,001,14-02-1989,139,76,-106,,,,,,
B21B0214,001,28-02-1989,139,76,-106,,,,,,
B21B0214,001,14-03-1989,133,70,-100,,,,,,
B21B0214,001,28-03-1989,132,69,-99,,,,,,
B21B0214,001,14-04-1989,132,69,-99,,,,,,
B21B0214,001,28-04-1989,140,77,-107,,,,,,
B21B0214,001,16-05-1989,145,82,-112,,,,,,
B21B0214,001,29-05-1989,154,91,-121,,,,,,
B21B0214,001,14-07-1989,143,80,-110,,,,,,
B21B0214,001,01-09-1989,139,76,-106,,,,,,
B21B0214,001,14-09-1989,131,68,-98,,,,,,
B21B0214,001,28-09-1989,140,77,-107,,,,,,
B21B0214,001,13-10-1989,138,75,-105,,,,,,
B21B0214,001,14-11-1989,144,81,-111,,,,,,
B21B0214,001,28-11-1989,150,87,-117,,,,,,
B21B0214,001,14-12-1989,144,81,-111,,,,,,
B21B0214,001,28-12-1989,137,74,-104,,,,,,
B21B0214,001,14-01-1990,146,83,-113,,,,,,
B21B0214,001,29-01-1990,135,72,-102,,,,,,
B21B0214,001,15-02-1990,123,60,-90,,,,,,
B21B0214,001,28-02-1990,128,65,-95,,,,,,
B21B0214,001,14-03-1990,136,73,-103,,,,,,
B21B0214,001,28-03-1990,143,80,-110,,,,,,
B21B0214,001,13-04-1990,145,82,-112,,,,,,
B21B0214,001,27-04-1990,141,78,-108,,,,,,
B21B0214,001,14-05-1990,138,75,-105,,,,,,
B21B0214,001,28-05-1990,145,82,-112,,,,,,
B21B0214,001,14-08-1990,151,88,-118,,,,,,
B21B0214,001,28-08-1990,142,79,-109,,,,,,
B21B0214,001,14-09-1990,135,72,-102,,,,,,
B21B0214,001,27-09-1990,136,73,-103,,,,,,
B21B0214,001,14-10-1990,138,75,-105,,,,,,
B21B0214,001,28-10-1990,155,92,-122,,,,,,
B21B0214,001,14-11-1990,128,65,-95,,,,,,
B21B0214,001,28-11-1990,127,64,-94,,,,,,
B21B0214,001,14-12-1990,131,68,-98,,,,,,
B21B0214,001,14-01-1991,125,62,-92,,,,,,
B21B0214,001,28-01-1991,140,77,-107,,,,,,
B21B0214,001,14-02-1991,183,120,-150,,,,,,
B21B0214,001,28-02-1991,140,77,-107,,,,,,
B21B0214,001,14-03-1991,146,83,-113,,,,,,
B21B0214,001,15-04-1991,148,85,-115,,,,,,
B21B0214,001,29-04-1991,155,92,-122,,,,,,
B21B0214,001,28-05-1991,141,78,-108,,,,,,
B21B0214,001,14-06-1991,137,74,-104,,,,,,
B21B0214,001,27-06-1991,119,56,-86,,,,,,
B21B0214,001,15-07-1991,130,67,-97,,,,,,
B21B0214,001,29-07-1991,138,75,-105,,,,,,
B21B0214,001,14-08-1991,145,82,-112,,,,,,
B21B0214,001,28-08-1991,150,87,-117,,,,,,
B21B0214,001,13-09-1991,151,88,-118,,,,,,
B21B0214,001,27-09-1991,137,74,-104,,,,,,
B21B0214,001,28-10-1991,147,84,-114,,,,,,
B21B0214,001,14-11-1991,125,62,-92,,,,,,
B21B0214,001,28-11-1991,139,76,-106,,,,,,
B21B0214,001,13-12-1991,149,86,-116,,,,,,
B21B0214,001,30-12-1991,149,86,-116,,,,,,
B21B0214,001,14-01-1992,132,69,-99,,,,,,
B21B0214,001,28-01-1992,145,82,-112,,,,,,
B21B0214,001,14-02-1992,143,80,-110,,,,,,
B21B0214,001,28-02-1992,150,87,-117,,,,,,
B21B0214,001,14-03-1992,145,82,-112,,,,,,
B21B0214,001,24-03-1992,132,69,-99,,,,,,
B21B0214,001,28-04-1992,138,75,-105,,,,,,
B21B0214,001,14-05-1992,139,76,-106,,,,,,
B21B0214,001,14-07-1992,150,87,-117,,,,,,
B21B0214,001,28-07-1992,151,88,-118,,,,,,
B21B0214,001,27-08-1992,140,77,-107,,,,,,
B21B0214,001,14-09-1992,135,72,-102,,,,,,
B21B0214,001,28-09-1992,147,84,-114,,,,,,
B21B0214,001,14-10-1992,151,88,-118,,,,,,
B21B0214,001,28-10-1992,133,70,-100,,,,,,
