date,residuals
1988-10-14,5.48
1988-10-27,4.8
1988-11-15,1.89
1988-11-28,1.89
1988-12-14,5.27
1988-12-28,4.71
1989-01-13,5.49
1989-01-27,1.08
1989-02-14,9.31
1989-02-28,3.72
1989-03-14,5.09
1989-03-28,5.97
1989-04-14,6.98
1989-04-28,4.74
1989-05-16,7.52
1989-05-29,8.13
1989-07-14,9.21
1989-09-01,2.53
1989-09-14,9.06
1989-09-28,1.8
1989-10-13,3.99
1989-11-14,-1.76
1989-11-28,-4.1
1989-12-14,0.78
1989-12-28,-1.46
1990-01-14,-1.51
1990-01-29,2.81
1990-02-15,5.05
1990-02-28,11.44
1990-03-14,1.36
1990-03-28,-0.98
1990-04-13,-6.85
1990-04-27,5.67
1990-05-14,12.79
1990-05-28,8.51
1990-08-14,3.17
1990-08-28,10.02
1990-09-14,3.47
1990-09-27,-0.85
1990-10-14,2.58
1990-10-28,-10.87
1990-11-14,4.57
1990-11-28,2.73
1990-12-14,-0.03
1991-01-14,7.17
1991-01-28,-4.72
1991-02-14,-11.14
1991-02-28,3.49
1991-03-14,5.54
1991-04-15,1.4
1991-04-29,-1.22
1991-05-28,12.24
1991-06-14,8.14
1991-06-27,10.41
1991-07-15,15.13
1991-07-29,14.37
1991-08-14,8.05
1991-08-28,2.22
1991-09-13,4.79
1991-09-27,2.2
1991-10-28,-6.8
1991-11-14,-2.17
1991-11-28,-4.02
1991-12-13,-4.13
1991-12-30,-6.74
1992-01-14,-4.74
1992-01-28,-6.46
1992-02-14,-0.53
1992-02-28,-6.6
1992-03-14,-5.54
1992-03-24,4.67
1992-04-28,7.94
1992-05-14,-0.42
1992-07-14,1.7
1992-07-28,-7.13
1992-08-27,2.49
1992-09-14,0.02
1992-09-28,-1.46
1992-10-14,-3.87
1992-10-28,0.72
1992-11-13,-4.19
1992-11-27,-7.9
1992-12-14,1.67
1993-01-14,-4.9
1993-01-28,-0.07
1993-02-15,-23.0
1993-02-26,-22.59
1993-03-15,-1.18
1993-04-14,-7.54
1993-04-28,-7.96
1993-07-14,-18.09
1993-08-13,5.83
1993-08-27,7.86
1993-09-14,7.92
1993-09-28,4.82
1993-10-28,-0.65
1993-11-15,-1.1
1993-11-29,-4.51
1993-12-14,5.86
1994-01-14,-9.68
1994-01-27,-3.1
1994-02-14,-13.15
1994-02-28,-6.24
1994-03-14,1.78
1994-04-14,-4.65
1994-04-28,-5.07
1994-05-16,9.19
1994-06-14,4.5
1994-07-14,-0.1
1994-07-28,-3.39
1994-08-15,-5.59
1994-08-29,0.03
1994-09-14,-0.78
1994-09-28,-5.84
1994-10-28,-0.1
1994-11-14,-4.98
1994-11-28,-6.0
1994-12-14,-3.36
1995-01-13,0.09
1995-01-27,5.63
1995-02-14,2.95
1995-02-28,-2.43
1995-03-14,-6.18
1995-03-28,1.66
1995-05-15,0.29
1995-05-29,1.91
1995-07-14,3.4
1995-08-14,-4.03
1995-09-14,-2.98
1995-09-28,0.31
1995-10-27,0.44
1995-11-14,-0.38
1995-11-28,-11.01
1995-12-14,-11.91
1996-01-15,0.54
1996-01-29,-13.83
1996-03-14,-18.03
1996-03-28,-1.76
1996-04-15,-0.02
1996-04-29,-2.43
1996-05-14,3.22
1996-05-28,0.11
1996-07-15,-5.03
1996-09-13,-3.49
1996-09-27,-3.88
1996-10-14,-7.07
1996-11-14,2.2
1996-11-28,-2.93
1996-12-13,-0.95
1997-01-14,-6.63
1997-01-28,-7.79
1997-02-12,12.33
1997-03-14,1.52
1997-03-28,-5.29
1997-04-14,-3.5
1997-05-27,4.73
1997-07-14,4.39
1997-07-28,4.56
1997-08-14,3.44
1997-08-28,-29.33
1997-09-15,0.42
1997-09-29,-9.18
1997-10-14,-17.95
1997-10-28,-3.74
1997-11-14,-9.53
1997-12-12,-1.29
1998-01-14,-0.81
1998-01-28,-4.83
1998-02-13,7.34
1998-03-13,0.02
1998-07-15,7.04
1998-07-29,11.48
1998-10-15,-3.26
1998-10-28,10.22
1998-11-13,9.52
1998-11-27,2.32
1998-12-15,5.33
1999-01-15,6.46
1999-01-29,1.92
1999-02-15,0.4
1999-03-01,6.04
1999-03-15,-1.89
1999-03-29,0.02
1999-04-23,1.4
1999-09-14,-6.11
1999-09-28,-6.4
1999-10-14,-12.15
1999-10-28,-10.66
1999-11-15,-6.79
1999-11-29,-7.33
1999-12-14,-0.4
1999-12-28,0.15
2000-01-14,-1.91
2000-01-28,-3.04
2000-02-14,2.61
2000-02-28,3.22
2000-03-14,-2.9
2000-03-28,3.63
